feature,mu_gain,pi_gain,total_gain
X285,31.66539363861084,32.351951196976,64.01734483558684
X390,47.18749189376831,16.64391212463379,63.8314040184021
X760,40.00364589691162,23.74833995103836,63.75198584794998
X952,24.12735586166382,38.91734602451324,63.044701886177066
X845,36.487617874145506,26.357890248298645,62.84550812244415
X395,26.583145809173583,35.514967751502994,62.09811356067658
X983,53.56895980834961,8.170173978805542,61.739133787155154
X7,26.549454021453858,35.07371597290039,61.62316999435424
X213,28.256490230560303,32.60659418106079,60.863084411621095
X822,19.934136295318602,40.77944192886353,60.71357822418213
X1081,33.69102582931519,26.882180047035217,60.5732058763504
X979,43.37712392807007,16.188853931427,59.56597785949707
X21,35.03961048126221,23.366879844665526,58.406490325927734
X846,23.33952579498291,34.958775758743286,58.2983015537262
X650,17.821479892730714,40.36222994327545,58.183709836006166
X150,20.418032073974608,37.74710376262665,58.16513583660126
X762,35.8971622467041,22.19818643927574,58.09534868597984
X814,22.64259204864502,34.73692021965981,57.37951226830483
X180,24.091168212890626,33.09171822071075,57.18288643360138
X790,45.045963764190674,11.910706108808517,56.95666987299919
X764,36.38323402404785,19.10372836589813,55.48696238994599
X643,28.881374073028564,26.56118392944336,55.44255800247193
X801,21.104545879364014,34.327688217163086,55.4322340965271
X104,42.59866762161255,12.821152475476264,55.41982009708882
X429,21.4752140045166,31.785723900794984,53.260937905311586
X809,24.849121856689454,28.194172310829163,53.04329416751862
X922,43.503554344177246,9.210421919822693,52.71397626399994
X651,36.97637186050415,15.139299893379212,52.11567175388336
X6,26.57193193435669,25.38310205936432,51.95503399372101
X767,12.00429391860962,39.88968263268471,51.89397655129433
X737,28.457904243469237,23.39317605495453,51.85108029842377
X994,35.63354606628418,15.165308511257171,50.798854577541356
X14,20.011382007598876,30.065761756896972,50.077143764495844
X796,21.89937381744385,27.7084018945694,49.60777571201325
X794,14.815799999237061,32.94073038101196,47.75653038024902
X431,35.09656991958618,12.185694026947022,47.282263946533206
X765,22.46437797546387,24.27154985666275,46.73592783212662
X883,20.824945831298827,25.82993588447571,46.654881715774536
X951,35.4722599029541,10.869670009613037,46.34192991256714
X848,20.927444076538087,24.1468759059906,45.07431998252869
X393,21.540629959106447,22.456713914871216,43.99734387397766
X766,8.382424068450927,35.07144105434418,43.45386512279511
X795,22.922077894210815,20.493999981880187,43.416077876091
X646,18.485531902313234,24.73802387714386,43.223555779457094
X986,21.278969955444335,19.811751353740693,41.09072130918503
X792,18.347163915634155,21.58712468445301,39.934288600087164
X275,5.039053916931152,34.67943799495697,39.71849191188812
X1045,17.614666080474855,22.033791875839235,39.64845795631409
X967,19.141269969940186,19.947793889045716,39.0890638589859
X642,23.097892332077027,15.809141647815704,38.90703397989273
X935,16.064499855041504,22.62278187274933,38.68728172779083
X346,18.458731842041015,20.11697260141373,38.57570444345474
X1080,9.602725934982299,28.89976886510849,38.50249480009079
X720,26.72481002807617,11.35624189376831,38.08105192184448
X639,15.483717727661134,22.399596095085144,37.883313822746274
X428,11.046073865890502,26.103139138221742,37.14921300411224
X928,13.329075908660888,23.246911907196044,36.575987815856934
X797,18.22607202529907,17.886792016029357,36.11286404132843
X929,27.823015880584716,8.246306014060973,36.06932189464569
X847,16.141813850402833,19.25386486053467,35.3956787109375
X495,22.17462615966797,12.448139822483062,34.62276598215103
X939,7.093527889251709,27.235893964767456,34.32942185401917
X105,16.037697982788085,17.595128464698792,33.63282644748688
X975,16.128573989868165,16.476008009910583,32.604581999778745
X984,19.721616101264953,12.343222624063491,32.06483872532844
X388,25.449281883239745,5.8963919401168825,31.345673823356627
X988,16.251650047302245,14.958635878562927,31.210285925865172
X112,16.685083961486818,13.70022257566452,30.385306537151337
X992,15.998634099960327,13.652351331710815,29.650985431671142
X930,8.521379852294922,19.884999895095824,28.406379747390744
X640,15.117266178131104,12.909382033348084,28.026648211479188
X647,18.156998252868654,9.540201926231385,27.697200179100037
