feature,psi
X857,0.0014839206017117433
X682,0.0014835807040923935
X652,0.0014820865051813122
X1015,0.0014811180049446185
X991,0.001477807391885871
X129,0.0014654220643517384
X982,0.001460458124465713
X55,0.0014556171955472568
X807,0.0014552070755569097
X576,0.0014542703162996574
X200,0.0014501911976869146
X812,0.0014458737272585143
X952,0.0014429845806537534
X829,0.0014428100150020195
X145,0.0014368161454512518
X65,0.0014325031101324651
X889,0.0014323532000520864
X878,0.001430908797188766
X970,0.0014248481852138465
X405,0.0014173645463895648
X189,0.0014086997103728827
X764,0.00140661884258485
X54,0.0014065394837971437
X578,0.0014064498042744952
X639,0.001406443732076277
X1002,0.001401190793391502
X571,0.0013994507718771518
X261,0.0013993542386401946
X886,0.0013993433806960512
X1076,0.0013911881928492203
X833,0.0013878348263599272
X828,0.0013842465674387436
X563,0.001379447011426681
X925,0.0013763347651609605
X1079,0.0013756782138771122
X788,0.0013621860148656962
X745,0.0013567519265594583
X592,0.0013562310292777019
X931,0.0013559761982830287
X82,0.0013469586294516996
X628,0.0013450889962233763
X755,0.0013436942429264093
X916,0.0013375459179755032
X560,0.0013355283322330981
X926,0.0013353435415184066
X336,0.0013341183676863371
X885,0.0013311481394869386
X392,0.001330889566179437
X174,0.001330493481413527
X840,0.0013265445709332087
X403,0.0013224632736052943
X431,0.0013174625808718592
X295,0.0013163621158248206
X735,0.0013070709588791922
X660,0.0013051839343092805
X775,0.0012985352937844963
X271,0.0012965735862235143
X665,0.0012932376462337638
X1033,0.0012908678084221404
X1031,0.0012900146630478696
X785,0.0012891974838776209
X579,0.0012748834794482806
X19,0.0012727858698851466
X826,0.001272370359714395
X999,0.001272104857709137
X480,0.0012716647902677874
X689,0.0012617414052578473
X855,0.001259664502837625
X42,0.0012555934026654693
X750,0.0012551537129059764
X1007,0.0012499024069848577
X572,0.0012452438072068496
X969,0.0012449860171675963
X753,0.0012447716065341113
X883,0.0012428987961712035
X1085,0.0012297965868163015
X482,0.0012252246336967043
X911,0.0012232812509972637
X752,0.0012229618576089544
X844,0.001221672942890971
X590,0.0012206945541141936
X342,0.001216679226792421
